Disease,symptoms
Industrial bronchitis,symptoms cough brings up mucus sputum shortness breath wheezing
Viral pneumonia,symptoms viral pneumonia begin slowly severe common symptoms pneumonia symptoms cough pneumonias you cough up mucus bloody mucus fever shaking chills shortness breath only when you exert yourself confusion older excessive sweating clammy skin headache loss appetite low energy fatigue sharp stabbing chest pain worse when you breathe deeply cough fatigue
Pulmonary actinomycosis,infection comes slowly weeks months diagnosis confirmed symptoms chest pain when taking deep breath cough phlegm sputum fever shortness breath unintentional weight loss lethargy night sweats uncommon
Pulmonary veno-occlusive disease,symptoms shortness breath dry cough fatigue exertion fainting coughing up blood difficulty breathing lying flat
Sarcoidosis,there no symptoms when symptoms they involve almost organ system almost affected sarcoidosis lung chest symptoms symptoms general discomfort skin symptoms nervous system symptoms eye symptoms symptoms disease chest pain behind breast bone dry cough shortness breath coughing up blood rare serious fatigue fever joint ache pain arthralgia weight loss hair loss raised red firm skin sores erythema nodosum almost front lower legs rash scars raised inflamed headache seizures weakness face burning itching discharge eye dry eyes pain vision loss dry mouth fainting spells heart involved nosebleed swelling upper abdomen liver disease swelling legs heart lungs involved abnormal heart rhythm heart involved
Pulmonary tuberculosis,primary stage tb symptoms when symptoms pulmonary tb they breathing difficulty chest pain cough mucus coughing up blood excessive sweating particularly night fatigue fever weight loss wheezing
Primary alveolar hypoventilation,symptoms worse sleep episodes stopped breathing apnea sleeping there no shortness breath symptoms disease sensitive small doses sedatives narcotics these drugs their breathing problem worse bluish coloration skin lack oxygen cyanosis daytime drowsiness fatigue morning headaches swelling ankles waking up sleep unrested waking up times night
Atypical pneumonia,pneumonia mycoplasma chlamydophila bacteria mild pneumonia legionella worse 4 6 days then improves 4 5 days common symptoms pneumonia symptoms common symptoms chills cough legionella pneumonia you cough up bloody mucus fever mild high shortness breath only when you exert yourself chest pain worse when you breathe deeply cough confusion older those legionella pneumonia headache loss appetite low energy fatigue muscle aches joint stiffness sweating clammy skin diarrhea legionella pneumonia ear pain mycoplasma pneumonia eye pain soreness mycoplasma pneumonia neck lump mycoplasma pneumonia rash mycoplasma pneumonia sore throat mycoplasma pneumonia
Flu,flu symptoms start quickly you start sick 1 7 days you come contact virus symptoms 2 3 days symptom fever 100â f 37 8â c 104â f 40â c comes suddenly lower fever flu fever common symptoms fever goes 3 4 days last up 8 days symptoms better 7 14 days cough tired last weeks fever comes back eating flu asthma breathing problems long-term chronic illnesses conditions worse aches chills headache lack energy cough runny stuffy nose sneezing sore throat nausea vomiting diarrhea common
Mediastinitis,symptoms signs mediastinitis who recent surgery chest pain chills fever general discomfort shortness breath chest wall tenderness wound drainage unstable chest wall
Mycoplasma pneumonia,symptoms mild 1 3 weeks they severe common symptoms common symptoms chest pain chills cough dry bloody excessive sweating fever high headache sore throat ear pain eye pain soreness muscle aches joint stiffness neck lump rapid breathing skin lesions rash
Pulmonary nocardiosis,pulmonary nocardiosis mainly affects lungs nocardiosis spread organs common symptoms entire gastrointestinal system lungs airways muscles joints nervous system skin fever comes goes general ill malaise night sweats nausea liver spleen swelling hepatosplenomegaly loss appetite unintentional weight loss vomiting breathing difficulty chest pain heart problems coughing up blood mucus rapid breathing shortness breath joint pain change mental state confusion dizziness headache seizures changes vision skin rashes lumps skin sores abscesses swollen lymph nodes
Pneumomediastinum,there no symptoms condition chest pain behind breastbone spread neck arms pain worse when you breath swallow
Obesity hypoventilation syndrome (OHS),main symptoms ohs lack sleep symptoms low blood oxygen level chronic hypoxia high carbon dioxide symptoms shortness breath tired little effort poor sleep quality sleep apnea daytime sleepiness depression headaches tiredness
Pleural effusion,symptoms there no symptoms chest pain sharp pain worse cough deep breaths cough fever chills hiccups rapid breathing shortness breath
Collapsed lung (pneumothorax),common symptoms collapsed lung larger pneumothorax severe symptoms sharp chest shoulder pain worse deep breath cough shortness breath nasal flaring shortness breath bluish color skin lack oxygen chest tightness lightheadedness fainting easy fatigue abnormal breathing patterns increased effort breathing rapid heart rate shock collapse
Psittacosis,incubation period psittacosis 5 15 days incubation period symptoms being exposed bacteria symptoms blood-tinged sputum dry cough fatigue fever chills headache joint aches muscle aches head neck shortness breath diarrhea swelling back throat pharyngitis swelling liver confusion
Chronic obstructive pulmonary disease (COPD),symptoms because symptoms slowly know they copd cough mucus fatigue frequent respiratory infections shortness breath dyspnea worse mild activity trouble catching one's breath wheezing
Respiratory acidosis,symptoms confusion anxiety easy fatigue lethargy shortness breath sleepiness tremors shaking warm flushed skin sweating
Pneumonia - weakened immune system,symptoms symptoms cough dry produce mucus-like greenish pus-like sputum chills shaking fatigue fever general discomfort uneasiness ill malaise headache loss appetite nausea vomiting sharp stabbing chest pain worse deep breathing coughing shortness breath heavy sweating night sweats stiff joints rare stiff muscles rare
Lung metastases,symptoms bloody sputum chest pain cough shortness breath weakness weight loss
Histoplasmosis - acute (primary) pulmonary,acute pulmonary histoplasmosis no symptoms only mild symptoms common symptoms acute pulmonary histoplasmosis serious illness young older weakened immune system those who symptoms these chest pain chills cough fever joint pain stiffness muscle aches stiffness rash small sores lower legs shortness breath hiv aids bone marrow solid organ transplants medicines suppress their immune system inflammation heart called pericarditis serious lung infections severe joint pain
Blastomycosis,lung infection symptoms symptoms infection spreads symptoms skin symptoms when infection spreads you papules pustules nodules exposed areas pustules joint pain chest pain cough produce brown bloody mucus fatigue fever night sweats general discomfort uneasiness ill malaise muscle pain unintentional weight loss warts ulcers painless vary color gray violet nose mouth bleed easily ulcers
Acute respiratory distress syndrome,symptoms 24 48 hours injury illness ards sick they cannot report symptoms symptoms shortness breath fast heartbeat low blood pressure organ failure rapid breathing
Drug-induced pulmonary disease,symptoms bloody sputum chest pain cough fever shortness breath wheezing
Simple pulmonary eosinophilia,symptoms symptoms range none severe they go treatment chest pain dry cough fever general ill rapid breathing rash shortness breath wheezing
Cystic fibrosis,symptoms newborns symptoms related bowel function symptoms related lungs sinuses symptoms noticed later life delayed growth failure gain weight normally childhood no bowel movements 24 48 hours life salty-tasting skin belly pain severe constipation increased gas bloating belly swollen distended nausea loss appetite stools pale clay-colored foul smelling mucus float weight loss history rectal prolapse coughing increased mucus sinuses lungs fatigue nasal congestion nasal polyps repeated episodes pneumonia symptoms pneumonia cystic fibrosis fever increased coughing shortness breath increased mucus loss appetite sinus pain pressure infection polyps infertility repeated inflammation pancreas pancreatitis respiratory symptoms clubbed fingers
Hypersensitivity pneumonitis,symptoms 4 8 hours you left where triggering substance hard figure out what disease your symptoms better you go back where you exposed substance chronic phase condition symptoms constant affected exposure substance symptoms acute exposure symptoms chronic hypersensitivity pneumonitis chills cough fever malaise ill shortness breath breathlessness especially activity cough dry loss appetite unintentional weight loss
Occupational asthma,symptoms toâ narrowing airways tightening spasms muscles lining airways reduces amount air pass wheezing sounds symptoms shortly you exposed substance they improve go when you leave work symptoms 12 hours being exposed trigger symptoms worse end work go weekends vacations symptoms coughing shortness breath tight chest wheezing
