Disease,Symptoms
Cholestasis of pregnancy,"Intense itching is the main symptom of cholestasis of pregnancy. But there is no rash. Typically, you feel itchy on the palms of your hands or the soles of your feet, but you may feel itchy everywhere. The itching is often worse at night and may bother you so much that you can't sleep.
The itching is most common during the third trimester of pregnancy but sometimes begins earlier. It may feel worse as your due date gets near. But once your baby arrives, the itchiness usually goes away within a few days.
Other less common signs and symptoms of cholestasis of pregnancy may include:
Yellowing of the skin and whites of the eyes, called jaundice
Nausea
Loss of appetite
Oily, foul-smelling stools"
Chondrosarcoma,"Chondrosarcoma tends to grow slowly, so it might not cause signs and symptoms at first. When they occur, signs and symptoms of chondrosarcoma may include:
Increasing pain
A growing lump or area of swelling"
Chordoma,"Signs and symptoms of chordoma may include:
Headache.
Neck pain.
Vision trouble, including blurred or double vision or vision loss.
Trouble with balance.
Hearing loss.
Facial paralysis.
Muscle weakness.
Trouble swallowing.
Shortness of breath."
Huntington's disease,Huntington's disease usually causes movement disorders. It also causes mental health conditions and trouble with thinking and planning. These conditions can cause a wide spectrum of symptoms. The first symptoms vary greatly from person to person. Some symptoms appear to be worse or have a greater effect on functional ability. These symptoms may change in severity throughout the course of the disease.
Choroid plexus carcinoma,"Blurred or double vision.
Headaches.
Increased tiredness.
Irritability.
Nausea.
Seizures.
Vomiting."
Gastroesophageal reflux disease (GERD),"Common symptoms of GERD include:
A burning sensation in the chest, often called heartburn. Heartburn usually happens after eating and might be worse at night or while lying down.
Backwash of food or sour liquid in the throat.
Upper belly or chest pain.
Trouble swallowing, called dysphagia.
Sensation of a lump in the throat.
An ongoing cough.
Inflammation of the vocal cords, known as laryngitis.
New or worsening asthma."
Chronic exertional compartment syndrome,"Signs and symptoms can include:
Aching, burning or cramping pain in a compartment of the affected limb
Tightness in the affected limb
Numbness or tingling in the affected limb
Weakness of the affected limb
Foot drop, in severe cases, if legs are affected
Occasionally, swelling or bulging as a result of a muscle hernia
Becomes less intense or stops completely within 15 minutes of stopping the activity"
Chronic cough,"A chronic cough can occur with other symptoms, including:
A runny or stuffy nose.
A feeling of liquid running down the back of your throat, also known as postnasal drip.
Clearing your throat a lot.
Sore throat.
Hoarseness.
Wheezing and shortness of breath.
Heartburn or a sour taste in your mouth.
In rare cases, coughing up blood."
Chronic daily headaches,"By definition, chronic daily headaches occur 15 days or more a month, for longer than three months. True (primary) chronic daily headaches aren't caused by another condition.
There are short-lasting and long-lasting chronic daily headaches. Long-lasting headaches last more than four hours. They include:
Chronic migraine
Chronic tension-type headache
New daily persistent headache
Hemicrania continua"
Chronic hives,"Symptoms of chronic hives include:
Batches of welts, called weals, that can arise anywhere on the body.
Welts that might be red, purple or skin-colored, depending on your skin color.
Welts that vary in size, change shape, and appear and fade repeatedly.
Itchiness, also called pruritus, which can be intense.
Painful swelling, called angioedema, around the eyes, cheeks or lips."
Hashimoto's disease,"Hashimoto's disease progresses slowly over the years. You may not notice signs or symptoms of the disease. Eventually, the decline in thyroid hormone production can result in any of the following:
Fatigue and sluggishness
Increased sensitivity to cold
Increased sleepiness
Dry skin
Constipation
Muscle weakness
Muscle aches, tenderness and stiffness
Joint pain and stiffness
Problems with memory or concentration
Swelling of the thyroid (goiter)
A puffy face
Brittle nails
Hair loss
Enlargement of the tongue"
COPD,"Symptoms of COPD may include:
Trouble catching your breath, especially during physical activities.
Wheezing or whistling sounds when breathing.
Ongoing cough that may bring up a lot of mucus. The mucus may be clear, white, yellow or greenish.
Chest tightness or heaviness.
Lack of energy or feeling very tired.
Frequent lung infections.
Losing weight without meaning to. This may happen as the condition worsens.
Swelling in ankles, feet or legs.
Working harder than usual to breathe or having trouble breathing.
Chest tightness.
Coughing more often.
More mucus or changes in mucus color or thickness.
Fever."
Chronic pelvic pain,"You may feel chronic pelvic pain in different parts of your pelvic area, rather than in just one spot. You might describe the pain in one or more of the following ways:
Serious and steady.
Pain that comes and goes.
Dull aching.
Sharp pains or cramping.
The pain also may happen:
While having a bowel movement or urinating.
When you sit or stand for a long time.
Other symptoms can include:
An urgent or frequent need to urinate.
Bloating.
Upset stomach.
Constipation or diarrhea."
Chronic sinusitis,"Common symptoms of chronic sinusitis include:
Thick, discolored mucus from the nose, known as a runny nose.
Mucus down the back of the throat, known as postnasal drip.
Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose.
Pain, tenderness and swelling around the eyes, cheeks, nose or forehead.
Reduced sense of smell and taste.
Other symptoms can include:
Ear pain.
Headache.
Aching in the teeth.
Cough.
Sore throat.
Bad breath.
Tiredness.
Chronic sinusitis and acute sinusitis have similar symptoms. But acute sinusitis is a short-lived infection of the sinuses often linked to a cold.
The symptoms of chronic sinusitis last at least 12 weeks. There might be many bouts of acute sinusitis before it becomes chronic sinusitis. Fever isn't common with chronic sinusitis. But fever might be part of acute sinusitis."
Chronic traumatic encephalopathy,"There are no specific symptoms that have been clearly linked toCTE. Some of the possible symptoms can occur in many other conditions. In the people who were confirmed to haveCTEat autopsy, symptoms have included cognitive, behavioral, mood and motor changes."
Claudication,"The pain may become more severe over time. You may even start to have pain at rest.
Signs or symptoms of peripheral artery disease, usually in more-advanced stages, include:
Pain, ache, discomfort or fatigue in muscles every time those muscles are used
Pain in the calves, thighs, buttocks, hips or feet
Less often, pain in shoulders, biceps and forearms
Pain that gets better soon after resting
Cool skin
Severe, constant pain that progresses to numbness
Skin discoloration
Wounds that don't heal"
Cleft lip and cleft palate,"Usually, a split (cleft) in the lip or roof of the mouth (palate) can be seen right away at birth. It may be found before birth during a prenatal ultrasound. Cleft lip and cleft palate may look like:
A split in the lip and palate that affects one or both sides of the face.
A split in the roof of the mouth that doesn't affect how the face looks.
Less often, a cleft occurs only in the muscles of the soft palate, which are at the back of the mouth and covered by the mouth's lining. This is called a submucous cleft palate. This type of cleft may not be seen at birth and may not be diagnosed until later when signs arise, such as:
Having a hard time feeding.
Nasal speaking voice.
Constant ear infections.
Rarely, having a hard time swallowing. Liquids or foods may come out of the nose."
Depression (major depressive disorder),"Feelings of sadness, tearfulness, emptiness or hopelessness
Angry outbursts, irritability or frustration, even over small matters
Sleep disturbances, including insomnia or sleeping too much
Reduced appetite and weight loss or increased cravings for food and weight gain
Slowed thinking, speaking or body movements
Trouble thinking, concentrating, making decisions and remembering things
Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide"
Cold urticaria,"Cold urticaria symptoms may include:
Serious responses may include:
A response that worsens as the skin warms.
Swelling of the hands while holding cold objects.
Swelling of the lips from eating cold food or drinking cold beverages.
This can cause fainting, a racing heart, swelling of limbs or trunk, and shock.
This can make it hard to breathe."
Cold sore,"A cold sore usually passes through several stages:
Tingling and itching.Many people feel itching, burning or tingling around the lips for a day or so before a small, hard, painful spot appears and blisters form.
Blisters.Small fluid-filled blisters often form along the border of the lips. Sometimes they appear around the nose or cheeks or inside the mouth.
Oozing and crusting.The small blisters may merge and then burst. This can leave shallow open sores that ooze and crust over.
Fever.
Painful gums.
Sore throat.
Headache.
Muscle aches.
Swollen lymph nodes."
Colic,"Babies have been known to fuss and cry, especially during the first three months of life. The range for what's considered typical crying is difficult to pin down. In general, colic is defined as crying for three or more hours a day, three or more days a week, for three or more weeks.
Features of colic may include the following:
Sometimes there is relief in symptoms after the infant passes gas or has a bowel movement. Gas is likely the result of swallowed air during prolonged crying.
Predictable timing, with episodes often occurring in the evening
Facial discoloring, such as skin flushing or blushing
Body tension, such as pulled up or stiffened legs, stiffened arms, clenched fists, arched back, or tense abdomen"
Ischemic colitis,"Symptoms of ischemic colitis can include:
Pain, tenderness or cramping in the belly, which can happen suddenly or happen over time.
Bright red or maroon blood in the stool or, at times, passage of blood alone without stool.
A feeling of urgency to move the bowels.
Diarrhea.
Nausea."
Microscopic colitis,"Symptoms of microscopic colitis include:
Watery diarrhea.
Belly pain, cramps or bloating.
Weight loss.
Nausea.
Not being able to control bowel movements, called fecal incontinence.
The body not having enough water, called dehydration.
The symptoms of microscopic colitis can come and go. At times, symptoms improve on their own."
Pneumothorax,
Colon polyps,"Most people with colon polyps do not have any symptoms. Colon polyps are often found as a part of routine colorectal cancer screening.
Symptoms that should prompt an appointment with a healthcare professional include:
Change in bowel habits.Constipation or diarrhea that lasts longer than a week may mean the presence of a larger colon polyp or cancer. However, several other conditions also can cause changes in bowel habits.
Change in stool color.Blood can show up as red streaks in the stool or make stool appear black. A change in color also may be caused by certain foods, medicines or dietary supplements.
Iron deficiency anemia.Bleeding from polyps can happen slowly over time, without visible blood in the stool. Chronic bleeding may lead to iron deficiency anemia, which can cause tiredness and shortness of breath.
Pain.A large colon polyp or cancer can block part of the bowel, leading to cramping and belly pain.
Rectal bleeding.This can be a sign of colon polyps or cancer or other conditions, such as hemorrhoids or minor tears of the anus."
Coma,"The symptoms of a coma commonly include:
Closed eyes.
Irregular breathing."
Common cold in babies,"The first symptoms of the common cold in a baby are often:
Other symptoms of a common cold in a baby may include:
A stuffy or runny nose.
Mucus coming from the nose. It might be clear at first but then might thicken and turn yellow or green.
Fever.
Sneezing.
Coughing.
Not wanting to eat.
Fussiness.
Trouble sleeping.
Trouble nursing or taking a bottle due to the stuffy nose."
Common variable immunodeficiency,"How bad symptoms are varies greatly between people withCVID. Symptoms of common variable immunodeficiency may appear during childhood or the teen years. But many people don't get symptoms until they're adults.
If you haveCVID, you'll likely have repeated infections before being diagnosed. The most common types of infections include pneumonia, sinusitis, ear infections and gastrointestinal infections."
Common warts,"Common warts symptoms include:
Small, fleshy, grainy bumps on the fingers or hands.
Feeling rough to the touch.
A sprinkling of black dots, which are clotted blood vessels."
Complicated grief,"During the first few months after a loss, many signs and symptoms of normal grief are the same as those of complicated grief. However, while normal grief symptoms gradually start to fade over time, those of complicated grief linger or get worse. Complicated grief is like being in an ongoing, heightened state of mourning that keeps you from healing.
Signs and symptoms of complicated grief may include:
Intense sorrow, pain and rumination over the loss of your loved one
Focus on little else but your loved one's death
Intense and persistent longing or pining for the deceased
Problems accepting the death
Numbness or detachment
Bitterness about your loss
Feeling that life holds no meaning or purpose
Lack of trust in others
Complicated grief also may be indicated if you continue to:
Have trouble carrying out normal routines
Isolate from others and withdraw from social activities
Believe that you did something wrong or could have prevented the death
Feel life isn't worth living without your loved one
Wish you had died along with your loved one"
Hoarding disorder,"The first symptoms of hoarding disorder often appear during the teenage to early adult years. You may get and save too many items, gradually build up clutter in living spaces, and have difficulty getting rid of things.
As you grow older, you may continue getting and holding onto things that you may never use and don't have space for. By middle age, the clutter can become overwhelming as symptoms become more severe and increasingly difficult to treat.
Problems with hoarding gradually develop over time and tend to be a private behavior. You may avoid having family, friends or repair workers in your home. Often, major clutter has developed by the time it reaches the attention of others.
Symptoms of hoarding disorder may include:
Getting and keeping too many items that you may not have a need for right now and don't have space for.
Ongoing difficulty throwing out or parting with your things, regardless of their actual value.
Feeling a need to save these items and being upset by the thought of getting rid of them.
Building up clutter to the point where you can't use rooms.
Trying to be perfect and avoiding or delaying decisions.
Problems with planning and organizing.
Getting too many items and refusing to part with them results in:
Items that crowd and clutter your walking spaces and living areas. Rooms can't be used for the intended purpose, such as not being able to sleep in your bed.
Buildup of food or trash to large, unsanitary levels.
Distress or problems functioning or keeping yourself, others and pets safe in your home.
Conflict with others who try to reduce or remove clutter from your home.
Relationship issues, avoiding social activities and employment problems.
Difficulty organizing items and sometimes losing important items in the clutter.
With hoarding disorder, items are usually saved because:
You believe these items are unique or that you'll need them at some point in the future.
You feel emotionally connected to items that remind you of happier times or represent beloved people or pets.
You feel safe and comforted when surrounded by things.
You don't want to waste anything.
Hoarding disorder is different from collecting. People who have collections, such as stamps or model cars, carefully search out specific items, organize them and display their collections. Collections can be large, but they aren't usually cluttered. Also, they don't cause the distress and problems functioning that are part of hoarding disorder."
Compulsive sexual behavior,You have trouble making and keeping healthy and stable relationships.
Kleptomania,"Kleptomania symptoms may include:
Inability to resist powerful urges to steal items that you don't need
Feeling pleasure, relief or satisfaction while stealing
Feeling terrible guilt, remorse, self-loathing, shame or fear of arrest after the theft
Return of the urges and a repetition of the kleptomania cycle"
Concussion,"The symptoms of a concussion can be subtle and may not occur right away. Symptoms can last for days, weeks or even longer.
Common symptoms after a mild traumatic brain injury are headache, confusion and loss of memory, known as amnesia. The amnesia usually involves forgetting the event that caused the concussion.
Physical symptoms of a concussion may include:
Headache.
Ringing in the ears.
Nausea.
Vomiting.
Fatigue or drowsiness.
Blurry vision.
Other symptoms of a concussion include:
Confusion or feeling as if in a fog.
Amnesia surrounding the event.
Dizziness or ""seeing stars.""
A witness may observe these symptoms in the person with a concussion:
Temporary loss of consciousness, though this doesn't always occur.
Slurred speech.
Delayed response to questions.
Dazed appearance.
Forgetfulness, such as asking the same question over and over.
Some symptoms of a concussion occur right away. But sometimes symptoms may not occur for days after the injury, such as:
Trouble with concentration and memory.
Irritability and other personality changes.
Sensitivity to light and noise.
Trouble with sleep.
Changes in taste and smell."
Congenital heart defects in children,"Serious congenital heart defects usually are found soon after birth or during the first few months of life. Symptoms could include:
Pale gray or blue lips, tongue, or fingernails. Depending on the skin color, these changes may be harder or easier to see.
Rapid breathing.
Swelling in the legs, belly or areas around the eyes.
Shortness of breath during feedings, leading to poor weight gain.
Less-serious congenital heart defects may not be found until later in childhood. Symptoms of congenital heart defects in older children may include:
Swelling in the hands, ankles or feet."
Congenital heart disease in adults,"Some people born with a heart problem don't notice symptoms until later in life. Symptoms also may return years after a congenital heart defect is treated.
Common congenital heart disease symptoms in adults include:
Irregular heartbeats, called arrhythmias.
Shortness of breath.
Feeling tired very quickly with activity.
Swelling due to fluid collecting inside body tissues, called edema."
Hirschsprung's disease,"Signs and symptoms of Hirschsprung's disease vary with the severity of the condition. Usually signs and symptoms appear shortly after birth, but sometimes they're not apparent until later in life.
Typically, the most obvious sign is a newborn's failure to have a bowel movement within 48 hours after birth.
Other signs and symptoms in newborns may include:
In older children, signs and symptoms can include:
Swollen belly
Vomiting, including vomiting a green or brown substance
Constipation or gas, which might make a newborn fussy
Diarrhea
Delayed passage of meconium — a newborn's first bowel movement
Swollen belly
Chronic constipation
Gas
Failure to thrive
Fatigue"
Congenital mitral valve anomalies,"Symptoms of congenital mitral valve anomalies may be serious or mild. Serious symptoms in babies and young children may include:
Shortness of breath during feedings.
Poor weight gain.
A pale gray or bluish tint to the skin. Depending on skin color, these changes may be easier or harder to see.
Heavy breathing.
A fast heartbeat.
Swelling in the legs, belly or around the eyes.
Sometimes, symptoms of congenital mitral valve anomalies don't appear until later in life, if at all. In older children and adults, symptoms may include:
Chest pain or discomfort.
Feeling very tired.
Dizziness or fainting.
People with mitral valve anomalies also often have other heart conditions present at birth, which may cause other symptoms.
If you or your child has symptoms of heart valve disease, including congenital mitral valve anomalies, talk with a healthcare professional. You may be sent to a doctor trained in heart diseases, called a cardiologist."
Conjoined twins,"There are no specific symptoms that indicate a conjoined twin pregnancy. As with other twin pregnancies, the uterus may grow faster than it does with a single baby. And there may be more tiredness, nausea and vomiting early in the pregnancy. Conjoined twins can be diagnosed early in the pregnancy using an ultrasound."
Pink eye (conjunctivitis),"The most common pink eye symptoms include:
Redness in one or both eyes.
Itchiness in one or both eyes.
A gritty feeling in one or both eyes.
A discharge in one or both eyes that forms a crust during the night that may prevent your eye or eyes from opening in the morning.
Tearing.
Sensitivity to light, called photophobia."
Constipation,"Symptoms of constipation include:
Fewer than three stools a week.
Hard, dry or lumpy stools.
Straining or pain when passing stools.
A feeling that not all stool has passed.
A feeling that the rectum is blocked.
The need to use a finger to pass stool.
Chronic constipation is having two or more of these symptoms for three months or longer."
Constipation in children,"Signs and symptoms of constipation in children may include:
If your child fears that having a bowel movement will hurt, he or she may try to avoid it. You may notice your child crossing his or her legs, clenching his or her buttocks, twisting his or her body, or making faces when attempting to hold stool.
Less than three bowel movements a week
Bowel movements that are hard, dry and difficult to pass
Pain while having a bowel movement
Stomach pain
Traces of liquid or pasty stool in your child's underwear — a sign that stool is backed up in the rectum
Blood on the surface of hard stool"
Functional neurologic disorder/conversion disorder,"Signs and symptoms of functional neurologic disorder may vary, depending on the type of functional neurological symptoms, and they're significant enough to cause impairment and warrant medical evaluation. Symptoms can affect body movement and function and the senses.
Signs and symptoms that affect body movement and function may include:
Signs and symptoms that affect the senses may include:
Weakness or paralysis
Abnormal movement, such as tremors or difficulty walking
Loss of balance
Difficulty swallowing or feeling ""a lump in the throat""
Seizures or episodes of shaking and apparent loss of consciousness (nonepileptic seizures)
Episodes of unresponsiveness
Numbness or loss of the touch sensation
Speech problems, such as the inability to speak or slurred speech
Vision problems, such as double vision or blindness
Hearing problems or deafness
Cognitive difficulties involving memory and concentration"
Coronary artery disease,"Shortness of breath.You may feel like you can't catch your breath.
Fatigue. If the heart can't pump enough blood to meet your body's needs, you may feel unusually tired.
A completely blocked coronary artery will cause a heart attack. Common heart attack symptoms include:
Pain or discomfort that spreads to the shoulder, arm, back, neck, jaw, teeth or sometimes the upper belly.
Cold sweats.
Fatigue.
Heartburn.
Nausea.
Shortness of breath.
Lightheadedness or sudden dizziness."
Small vessel disease,"Small vessel disease signs and symptoms include:
If you've been treated for coronary artery disease with angioplasty and stents and your signs and symptoms haven't gone away, you might also have small vessel disease.
Chest pain, squeezing or discomfort (angina), which may get worse with activity or emotional stress
Discomfort in the left arm, jaw, neck, back or abdomen along with chest pain
Shortness of breath
Tiredness and lack of energy"
Corticobasal degeneration (corticobasal syndrome),"Symptoms of corticobasal degeneration (corticobasal syndrome) include:
Trouble moving on one or both sides of the body, which gets worse over time.
Poor coordination.
Trouble with balance.
Stiffness.
Muscle jerks.
Trouble swallowing.
Changes in eye movements.
Trouble with thinking and language skills.
Speech changes, such as slow and halting speech.
Corticobasal degeneration gets worse over 6 to 8 years. Eventually, people with the disease lose the ability to walk."
Cough headaches,"Symptoms of cough headaches:
Begin suddenly with and just after coughing or other types of straining
Typically last a few seconds to a few minutes — some can last up to two hours
Cause sharp, stabbing, splitting or ""bursting"" pain
Usually affect both sides of your head and may be worse in the back of your head
May be followed by a dull, aching pain for hours
Longer lasting headaches
Dizziness
Unsteadiness
Fainting
Ringing in the ears or hearing loss
Blurred vision or double vision
Tremor"
Pubic lice (crabs),"Legs
Chest
Armpits
Beard or mustache
Eyelashes or eyebrows, more commonly in children"
Muscle cramp,"Muscle cramps occur mostly in leg muscles, most often in the calf. Cramps usually last for seconds to minutes. After the cramp eases, the area might be sore for hours or days."
Menstrual cramps,"Symptoms of menstrual cramps include:
Some women also have:
Throbbing or cramping pain in your lower abdomen that can be intense
Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days
Dull, continuous ache
Pain that radiates to your lower back and thighs
Nausea
Loose stools
Headache
Dizziness"
Crohn's disease,"Symptoms of Crohn's disease typically include:
Diarrhea.
Fever.
Fatigue.
Belly pain and cramping.
Blood in the stool.
Mouth sores.
Reduced appetite and weight loss.
Pain or drainage near or around the anus due to inflammation from a tunnel into the skin, called a fistula.
Crohn's disease can affect any part of the small or large intestine. It may involve multiple segments, or it may be continuous. It most commonly involves the last part of the small intestine. In some people, the disease is only in the colon or the large intestine.
Symptoms of Crohn's disease can range from mild to severe. They usually develop gradually, but sometimes might come on suddenly, without warning. Someone with Crohn's disease also may have periods of time with no symptoms. This is known as remission."
Cutaneous T-cell lymphoma,"Signs and symptoms of cutaneous T-cell lymphoma include:
Patches of raised or scaly skin that might itch. The patches happen most often on skin that doesn't get much sun.
Patches of skin that look pink, red, brown or gray. The color may be harder to see on Black and brown skin.
Patches of skin that look lighter in color than the skin around them. This may be easier to see on Black and brown skin.
Lumps that form on the skin and may break open.
Lymph nodes that get bigger.
Hair loss.
Thickened skin on the palms of the hands and soles of the feet.
A rash over all the skin that is scaly and itchy."
Peyronie disease,"Peyronie disease symptoms might start suddenly or appear over time. The most common symptoms include:
Scar tissue.The scar tissue linked with Peyronie disease also is called plaque. It's different from plaque that can build up in blood vessels or on your teeth. It can be felt under the skin of the penis as flat lumps or a band of hard tissue. The area over the scar tissue may feel tender.
A bend to the penis.The penis might curve upward or downward or bend to one side.
Erection problems.Peyronie disease might cause problems getting or keeping an erection. This also is called erectile dysfunction. Often though, people with Peyronie disease say they notice erectile dysfunction before the start of their other penile symptoms.
Shortening of the penis.The penis might become shorter during erections due to Peyronie disease.
Pain in the penis.This symptom might happen with or without an erection.
Other changes in how the penis looks.In some people with Peyronie disease, the erect penis might look narrow or indented. It might even take on an hourglass-like shape, with a tight, narrow band around the shaft.
The curving and penile shortening linked with Peyronie disease might become worse over time. Physical changes in the penis often get worse or stay the same during the first year to year and a half.
Pain during erections usually gets better within 1 to 2 years. The scar tissue, penile shortening and curving often remain. It's not common, but the curving and pain of Peyronie disease can get better without treatment."
Self-injury/cutting,"Symptoms of self-injury may include:
Scars, often in patterns.
Fresh cuts, scratches, bruises, bite marks or other wounds.
Keeping sharp objects or other items used for self-injury on hand.
Wearing long sleeves or long pants to hide self-injury, even in hot weather.
Frequent reports of accidental injury.
Difficulties in relationships with others.
Talk of helplessness, hopelessness or worthlessness."
Cyclic vomiting syndrome,"The symptoms of cyclic vomiting syndrome often begin in the morning. Signs and symptoms include:
Other signs and symptoms during a vomiting episode may include:
Three or more recurrent episodes of vomiting that start around the same time and last for a similar length of time
Varying intervals of generally normal health without nausea between episodes
Intense nausea and sweating before an episode starts
Abdominal pain
Diarrhea
Dizziness
Sensitivity to light
Headache
Retching or gagging"
Cyclothymia (cyclothymic disorder),"Cyclothymia symptoms are similar to those of bipolar I or II disorder, but they're less severe. When you have cyclothymia, you can typically function in your daily life, though not always well. The unpredictable nature of your mood shifts may significantly disrupt your life because you never know how you're going to feel."
Ganglion cyst,"These are common features of ganglion cysts:
Shape and size.Ganglion cysts are round or oval. Some are too small to feel. The size of a cyst can change, often getting larger over time with joint movement."
Kidney cysts,"Simple kidney cysts typically don't cause symptoms. But if a simple kidney cyst grows large enough, symptoms may include:
Dull pain in the back or side
Fever
Upper stomach pain"
Pancreatic cysts,"You may not have symptoms from pancreatic cysts, which are often found when imaging tests of the abdomen are done for another reason.
When signs or symptoms of pancreatic cysts do occur, they typically include:
Persistent abdominal pain, which may radiate to your back
Nausea and vomiting
Weight loss
Feeling full soon after you start eating"
Pilonidal cyst,"A pilonidal cyst may not cause symptoms. But if it's infected, the skin around the cyst may be swollen and painful. Symptoms of an infected pilonidal cyst include:
A pit near the top of the buttocks crease.
Pain.
Inflamed, swollen skin.
Pus or blood leaking from an opening in the skin.
An odor from draining pus."
Spermatocele,"A spermatocele usually causes no signs or symptoms and might remain stable in size. If it becomes large enough, however, you might feel:
Pain or discomfort in the affected testicle
Heaviness in the testicle with the spermatocele
Fullness behind and above the testicle"
Epidermoid cysts,"Epidermoid cyst signs and symptoms include:
A small, round bump under the skin, often on the face, neck or trunk
A tiny blackhead plugging the central opening of the cyst
A thick, smelly, cheesy substance that leaks from the cyst
An inflamed or infected bump"
Dandruff,"Dandruff signs and symptoms may include:
Skin flakes on your scalp, hair, eyebrows, beard or mustache, and shoulders
Itchy scalp
Scaly, crusty scalp in infants with cradle cap
The signs and symptoms may be more severe if you're stressed, and they tend to flare in cold, dry seasons."
Ductal carcinoma in situ (DCIS),"Ductal carcinoma in situ doesn't typically cause symptoms. This early form of breast cancer also is called DCIS.
DCIS can sometimes cause symptoms such as:
A breast lump.
Bloody nipple discharge.
DCIS is usually found on a mammogram. It appears as tiny flecks of calcium in the breast tissue. These are calcium deposits, often referred to as calcifications."
De Quervain tenosynovitis,"Symptoms of de Quervain tenosynovitis include:
Pain near the base of the thumb
Swelling near the base of the thumb
Difficulty moving the thumb and wrist when doing something that involves grasping or pinching
A ""sticking"" or ""stop-and-go"" sensation in the thumb when moving it
If the condition goes too long without treatment, the pain may spread farther into the thumb or forearm or both. Moving the thumb and wrist may make the pain worse."
Dry eyes,"Signs and symptoms, which usually affect both eyes, may include:
A stinging, burning or scratchy sensation in your eyes
Stringy mucus in or around your eyes
Sensitivity to light
Eye redness
A sensation of having something in your eyes
Difficulty wearing contact lenses
Difficulty with nighttime driving
Watery eyes, which is the body's response to the irritation of dry eyes
Blurred vision or eye fatigue"
Deep vein thrombosis (DVT),"Deep vein thrombosis (DVT) symptoms can include:
Deep vein thrombosis can occur without noticeable symptoms.
Leg swelling
Leg pain, cramping or soreness that often starts in the calf
Change in skin color on the leg — such as red or purple, depending on the color of your skin
A feeling of warmth on the affected leg"
Delayed sleep phase,"Symptoms are persistent. They last at least three months and often for years. Symptoms may include:
Not being able to fall asleep at a typical bedtime, known as insomnia.
Trouble waking up in the morning in time to go to work or school.
Trouble staying alert during the day."
Lewy body dementia,"Lewy body dementia symptoms can include:
Visual hallucinations.Seeing things that aren't there, known as hallucinations, might be one of the first symptoms of Lewy body dementia. This symptom often occurs regularly. People with Lewy body dementia might see shapes, animals or people that aren't there. Hallucinations involving sounds, smells or touch are possible.
Movement disorders.Signs of Parkinson's disease, known as parkinsonian signs, may occur. These symptoms include slowed movement, rigid muscles, tremor or a shuffling walk. This can cause the person to fall.
Cognitive problems.People with Lewy body dementia might have thinking problems similar to those of Alzheimer's disease. They may include confusion, poor attention, visual-spatial problems and memory loss.
Trouble with sleep.People with Lewy body dementia can have rapid eye movement (REM) sleep behavior disorder. This disorder causes people to physically act out their dreams while asleep. People withREMsleep behavior disorder may punch, kick, yell or scream while sleeping.
Varying attention.Episodes of drowsiness, long periods of staring into space, long naps during the day or disorganized speech are possible.
Apathy.Loss of motivation may occur."
Depersonalization-derealization disorder,"Symptoms usually begin in the middle or late teenage years, or in early adulthood. Depersonalization-derealization disorder is rare in children and older adults."
Teen depression,"Also consider these options if you're having suicidal thoughts:
Call your mental health professional.
Seek help from your primary care doctor or other health care provider.
Reach out to a close friend or loved one.
Contact a minister, spiritual leader or someone else in your faith community.
If a loved one or friend is in danger of attempting suicide or has made an attempt:
Make sure someone stays with that person.
Call 911 or your local emergency number immediately.
Or, if you can do so safely, take the person to the nearest hospital emergency room.
Never ignore comments or concerns about suicide. Always take action to get help."
Dermatitis,"Each type of dermatitis tends to occur on a different part of the body. Symptoms may include:
Itchiness that can be painful.
Dry, cracked, scaly skin, more typical on white skin.
Rash on swollen skin that varies in color depending on skin color.
Blisters, perhaps with oozing and crusting.
Dandruff.
Thickened skin.
Small, raised bumps, more typical on brown or Black skin."
Neurodermatitis,"Symptoms of neurodermatitis include:
An itchy, scaly skin patch or patches
Open sores that bleed
Thick, leathery skin
Discolored, wrinkled genital skin
Raised, rough patches that are inflamed or darker than the rest of the skin
The condition involves areas that can be reached for scratching — the scalp, neck, wrists, forearms, ankles, vulva, scrotum and anus. The itchiness, which can be intense, may come and go or be nonstop. You may scratch your skin out of habit and while sleeping."
Dermatofibrosarcoma protuberans,"Symptoms of dermatofibrosarcoma protuberans include:
A lump or lumps on the skin that look like pimples, scars or birthmarks.
A lump or lumps on the skin that may feel hard to the touch or rubberlike.
A patch of skin that feels firm to the touch.
The lumps typically appear on the arms, legs or trunk. They rarely form on the head or neck."
Dermatographia (Dermatographism),"Symptoms of dermatographia may include:
Raised, inflamed lines where you scratched.
Welts from friction.
Swelling.
Itching.
The symptoms may occur within a few minutes of the skin being rubbed or scratched. They tend to go away within 30 minutes. Rarely, the skin symptoms develop more slowly and lasts several hours to days. The condition itself can last for months or years."
Desmoid tumors,"Desmoid tumor symptoms differ based on where the tumors occur. Desmoid tumors most often happen in the abdomen, arms and legs. But they can form anywhere in the body.
In general, signs and symptoms include:
A mass or area of swelling
Pain
Loss of function in the affected area
Cramping and nausea, when desmoid tumors occur in the abdomen"
Desmoplastic small round cell tumors,"Desmoplastic small round cell tumor symptoms vary depending on where the cancer begins. Most often it begins in the abdomen.
Signs and symptoms of desmoplastic small round cell tumors in the abdomen include:
Swelling of the abdomen
Abdominal pain
Constipation
Difficulty urinating"
