id,disease,Symptoms,When to see a doctor,Causes,Risk factors,Complications,Prevention
11,ACL injury,"Signs and symptoms of anACLinjury usually include:
A loud pop or a ""popping"" sensation in the knee
Severe pain and inability to continue activity
Rapid swelling
Loss of range of motion
A feeling of instability or ""giving way"" with weight bearing",,"Ligaments are strong bands of tissue that connect one bone to another. TheACL, one of two ligaments that cross in the middle of the knee, connects your thighbone to your shinbone and helps stabilize your knee joint.
ACLinjuries often happen during sports and fitness activities that can put stress on the knee:
Suddenly slowing down and changing direction (cutting)
Pivoting with your foot firmly planted
Landing awkwardly from a jump
Stopping suddenly
Receiving a direct blow to the knee or having a collision, such as a football tackle
When the ligament is damaged, there is usually a partial or complete tear of the tissue. A mild injury may stretch the ligament but leave it intact.","There are a number of factors that increase your risk of anACLinjury, including:
Being female — possibly due to differences in anatomy, muscle strength and hormonal influences
Participating in certain sports, such as soccer, football, basketball, gymnastics and downhill skiing
Poor conditioning
Using faulty movement patterns, such as moving the knees inward during a squat
Wearing footwear that doesn't fit properly
Using poorly maintained sports equipment, such as ski bindings that aren't adjusted properly
Playing on artificial turf","Multiple factors likely influence the risk of arthritis, such as the severity of the original injury, the presence of related injuries in the knee joint or the level of activity after treatment.","Programs to reduceACLinjury include:
Training to improve technique when performing pivoting and cutting movements
Training to strengthen muscles of the legs, hips and core — as well as training to improve jumping and landing techniques and to prevent inward movement of the knee — may help to reduce the higherACLinjury risk in female athletes."
12,Acne,"Acne signs vary depending on the severity of your condition:
Whiteheads (closed plugged pores)
Blackheads (open plugged pores)
Small red, tender bumps (papules)
Pimples (pustules), which are papules with pus at their tips
Large, solid, painful lumps under the skin (nodules)
Painful, pus-filled lumps under the skin (cystic lesions)
Acne usually appears on the face, forehead, chest, upper back and shoulders.","If self-care remedies don't clear your acne, see your primary care doctor. He or she can prescribe stronger medications. If acne persists or is severe, you may want to seek medical treatment from a doctor who specializes in the skin (dermatologist or pediatric dermatologist).
For many women, acne can persist for decades, with flares common a week before menstruation. This type of acne tends to clear up without treatment in women who use contraceptives.
In older adults, a sudden onset of severe acne may signal an underlying disease requiring medical attention.
The Food and Drug Administration (FDA) warns that some popular nonprescription acne lotions, cleansers and other skin products can cause a serious reaction. This type of reaction is quite rare, so don't confuse it with any redness, irritation or itchiness that occurs in areas where you've applied medications or products.
Faintness
Difficulty breathing
Swelling of the eyes, face, lips or tongue
Tightness of the throat","Four main factors cause acne:
Hair follicles clogged by oil and dead skin cells
Bacteria
Inflammation
Acne typically appears on your face, forehead, chest, upper back and shoulders because these areas of skin have the most oil (sebaceous) glands. Hair follicles are connected to oil glands.
Pimples are raised red spots with a white center that develop when blocked hair follicles become inflamed or infected with bacteria. Blockages and inflammation deep inside hair follicles produce cystlike lumps beneath the surface of your skin. Other pores in your skin, which are the openings of the sweat glands, aren't usually involved in acne.
Certain things may trigger or worsen acne:
Hormonal changes.Androgens are hormones that increase in boys and girls during puberty and cause the sebaceous glands to enlarge and make more sebum. Hormone changes during midlife, particularly in women, can lead to breakouts too.
Stress.Stress doesn't cause acne, but if you have acne already, stress may make it worse.","Risk factors for acne include:
Age.People of all ages can get acne, but it's most common in teenagers.
Hormonal changes.Such changes are common during puberty or pregnancy.
Family history.Genetics plays a role in acne. If both of your parents had acne, you're likely to develop it too.
Greasy or oily substances.You may develop acne where your skin comes into contact with oil or oily lotions and creams.","Scars.Pitted skin (acne scars) and thick scars (keloids) can remain long-term after acne has healed.
Skin changes.After acne has cleared, the affected skin may be darker (hyperpigmented) or lighter (hypopigmented) than before the condition occurred.",
13,Hidradenitis suppurativa,"Hidradenitis suppurativa can affect one or several areas of the body. Signs and symptoms of the condition include:
Blackheads.Blackheads appear in small, pitted areas of skin, often appearing in pairs.
Painful pea-sized lumps.The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.
Leaking bumps or sores.Some bumps or sores get bigger, break open and drain pus with an odor.
Tunnels.Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus.","Early diagnosis of hidradenitis suppurativa is key to effective treatment. See your dermatologist if your condition:
Is painful.
Makes it difficult to move.
Doesn't improve in a few weeks.
Returns within weeks of treatment.
Flares often.
Your dermatologist can create a treatment plan for you.
Hidradenitis suppurativa is not just a boil, and many people with this condition also have related conditions. People with hidradenitis suppurativa benefit from a health care team with medical and surgical dermatologists at the core. Other specialists are involved as needed.","An infection or being unclean does not cause hidradenitis suppurativa, and it can't be spread to other people.","Factors that increase your chance of developing hidradenitis suppurativa include:
Age.The risk of hidradenitis suppurativa is higher for people in their teens and 20s.
Race.Ethnicity or race might affect risk level. The condition occurs most in Black people, possibly due to genetic factors.
Family history.A tendency to develop hidradenitis suppurativa can be inherited.
Certain conditions.Hidradenitis suppurativa is more common and severe in people who are overweight. It also has an association with severe acne, arthritis, diabetes, metabolic syndrome and inflammatory bowel disease.
Smoking.Smoking tobacco has been linked to hidradenitis suppurativa.","Persistent and severe hidradenitis suppurativa can cause complications, including:
Infection.Secondary infection is possible in the affected area, but the presence of pus is common in hidradenitis suppurativa and doesn't necessarily mean infection.
Scars and skin changes.The wounds may heal but leave ropelike scars or pitted skin.
Restricted movement.Sores and scar tissue can cause limited or painful movement, especially when the disease affects the armpits or thighs.
Skin cancer.Squamous cell carcinoma has been reported with long-term hidradenitis suppurativa, particularly in people whose condition involves the perianal area. This area consists of the tissues around the anus.
Swelling in the arms, legs or genitals.The most common sites for hidradenitis suppurativa also contain many lymph nodes. Scar tissue can interfere with the lymph drainage system, which can cause the arms, legs or genitals to swell.
Lifelong pain.This pain is much worse than diseases such as psoriasis.",
14,Acoustic neuroma,"As the tumor grows, it may be more likely to cause more noticeable or worse symptoms.
Common signs and symptoms of an acoustic neuroma include:
Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.
Ringing in the affected ear, known as tinnitus.
Loss of balance or not feeling steady.
Dizziness.
Facial numbness and, very rarely, weakness or loss of muscle movement.",,,,"An acoustic neuroma may cause permanent complications, including:
Hearing loss.
Facial numbness and weakness.
Trouble with balance.
Ringing in the ear.",
15,HIV/AIDS,The symptoms ofHIVandAIDSvary depending on the person and the phase of infection.,"If you think you may have been infected withHIVor are at risk of contracting the virus, see a healthcare professional as soon as you can.","HIVdestroys white blood cells called CD4 T cells. These cells play a large role in helping the body fight disease. The fewer CD4 T cells you have, the weaker your immune system becomes.",Have anSTI.ManySTIscause open sores on the genitals. These sores allowHIVto enter the body.,HIVinfection weakens your immune system. The infection makes you much more likely to get many infections and certain types of cancers.,"There's no vaccine to preventHIVinfection and no cure forHIV/AIDS. But you can protect yourself and others from infection.
To help prevent the spread ofHIV:
If you're pregnant, get medical care right away.You can passHIVto your baby. But if you get treatment during pregnancy, you can lessen your baby's risk greatly.
Consider male circumcision.Studies show that removing the foreskin from the penis, called circumcision, can help reduce the risk of gettingHIVinfection."
16,Acromegaly,"Acromegaly symptoms can change the way some body parts look. Changes can include:
Thick ears and lips.
A broad nose.
Enlarged hands and feet.
A jutting brow or jaw.
Gaps between teeth.
An enlarged tongue.
Skin changes can include:
Acne.
Harmless skin growths called skin tags.
Coarse, oily and thickened skin.
Swelling in the tissue under the skin.
Most often, people with acromegaly don't have every possible body change. And because the changes come on slowly, they may take years to notice. But over time, rings may no longer fit fingers like they used to. Or shoe size may get bigger. Sometimes, people notice the changes only by comparing old photos with newer ones.
Other acromegaly symptoms can include:
Vision troubles, including loss of side vision.
More sweating and body odor than is typical.
Headaches.
Joint pain.
Deeper voice.",Get a healthcare checkup if you think you have symptoms of acromegaly. The condition usually develops slowly. Even family members may take a long time to notice the physical changes that happen. But it's important for a healthcare professional to find the condition as early as possible. Treatment can help prevent serious health conditions that can happen along with acromegaly.,"The most common cause of acromegaly is a tumor in the pituitary gland. The tumor is called an adenoma. It isn't cancer. But it makes too much growth hormone over a long amount of time.
Rarely, tumors in other parts of the body cause acromegaly. These include tumors of the lung or pancreas. Sometimes these tumors release growth hormone. Or they make a hormone called growth hormone-releasing hormone. This signals the pituitary gland to make more growth hormone.
The pituitary gland is located at the base of the brain, behind the bridge of the nose. It makes growth hormone and other hormones. Growth hormone plays an important role in controlling physical growth.
The pituitary gland releases growth hormone into the bloodstream. This triggers the liver to make a hormone called insulin-like growth factor-1, also called IGF-1. IGF-1 is really what causes bones and other tissues to grow. Too much growth hormone leads to too much IGF-1. And that can cause acromegaly symptoms and complications.","People who have a rare genetic condition called multiple endocrine neoplasia, type 1 have a higher risk of acromegaly. This condition also is called MEN 1.","Without treatment, acromegaly can lead to other health conditions called complications. These complications can include the following.
Conditions of the heart and blood vessels such as:
Higher risk of narrow arteries, which may lead to a heart attack or stroke.
A disease of the heart muscle called cardiomyopathy.
Cancer and conditions that can lead to cancer:
Higher risk of some cancers.
Growths called polyps on the lining of the colon. Without treatment, these growths can lead to colon cancer.
Missed periods or irregular vaginal bleeding.
Trouble getting or keeping an erection, also called erectile dysfunction.
Other serious conditions including:
The most common type of arthritis, called osteoarthritis.
Type 2 diabetes.
An irregular growth of the thyroid gland, called a goiter.
A condition called sleep apnea in which breathing stops and starts many times during sleep.
A condition called carpal tunnel syndrome that causes numbness, tingling, and weakness in the hand and arm.
Vision changes or vision loss.
Early treatment of acromegaly can prevent these complications or keep them from becoming worse. Without treatment, acromegaly and its complications can lead to early death.",
17,Actinic keratosis,"Actinic keratoses vary in appearance. Symptoms include:
Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter
Flat to slightly raised patch or bump on the top layer of skin
In some cases, a hard, wartlike surface
Color variations, including pink, red or brown
Itching, burning, bleeding or crusting","It can be difficult to distinguish between noncancerous spots and cancerous ones. So it's best to have new skin changes evaluated by a health care provider — especially if a scaly spot or patch persists, grows or bleeds.",,"Anyone can develop actinic keratoses. But you're at increased risk if you:
Have red or blond hair and blue or light-colored eyes
Are older than 40
Live in a sunny place
Work outdoors
Have a weakened immune system","If treated early, actinic keratosis can be cleared up or removed. If left untreated, some of these spots might progress to squamous cell carcinoma. This is a type of cancer that usually isn't life-threatening if detected and treated early.","Sun safety helps prevent actinic keratoses. Take these steps to protect your skin from the sun:
Use sunscreen.Before spending time outdoors, apply a broad-spectrum water-resistant sunscreen with a sun protection factor (SPF) of at least 30, as the American Academy of Dermatology recommends. Do this even on cloudy days.
Sunscreen is not recommended for babies under 6 months. Rather, keep them out of the sun if possible. Or protect them with shade, hats, and clothing that covers the arms and legs.
Especially avoid time in the sun between 10 a.m. and 2 p.m. And avoid staying in the sun so long that you get a sunburn or a suntan."
18,Acute coronary syndrome,"The symptoms of acute coronary syndrome usually start suddenly. They include:
Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw.
Nausea or vomiting.
Pain or burning in the upper belly, called indigestion.
Shortness of breath, also called dyspnea.
Sudden, heavy sweating.
Racing heartbeat.
Feeling lightheaded or dizzy.
Fainting.
Unusual fatigue.",Acute coronary syndrome is a medical emergency. Chest pain or discomfort can be a symptom of many life-threatening conditions. Get emergency help right away for a diagnosis and appropriate care. Do not drive yourself to the hospital.,,"The risk factors for acute coronary syndrome are the same as those for other types of heart disease. Risk factors include:
Older age.
High blood cholesterol.
Smoking or tobacco use.
Not enough physical activity.
An unhealthy diet.
Obesity or overweight.
Diabetes.
Personal or family history of chest pain called angina, heart attacks or stroke.
Early menopause.
COVID-19 infection.",,
19,Acute flaccid myelitis (AFM),"The most common signs and symptoms of acute flaccid myelitis include:
Other possible signs and symptoms include:
Uncommon symptoms might include:
Sudden arm or leg weakness
Sudden loss of muscle tone
Difficulty moving the eyes or drooping eyelids
Facial droop or weakness
Difficulty with swallowing or slurred speech
Pain in the arms, legs, neck or back
Numbness or tingling
Inability to pass urine","If you or your child has any of the signs or symptoms listed above, seek medical care as soon as possible.","Acute flaccid myelitis might be caused by an infection with a type of virus known as an enterovirus. Respiratory illnesses and fever from enteroviruses are common — especially in children. Most people recover. It's not clear why some people with an enterovirus infection develop acute flaccid myelitis.
In the United States many viruses, including enteroviruses, circulate between August and November. This is when acute flaccid myelitis outbreaks tend to occur.
The symptoms of acute flaccid myelitis can look similar to those of the viral disease polio. But none of the acute flaccid myelitis cases in the United States have been caused by poliovirus.",Acute flaccid myelitis mainly affects young children.,Muscle weakness caused by acute flaccid myelitis can continue for months to years.,"There's no specific way to prevent acute flaccid myelitis. However, preventing a viral infection can help reduce the risk of developing acute flaccid myelitis.
Take these steps to help protect yourself or your child from getting or spreading a viral infection:
Wash your hands often with soap and water.
Avoid touching your face with unwashed hands.
Avoid close contact with people who are sick.
Clean and disinfect frequently touched surfaces.
Cover coughs and sneezes with a tissue or upper shirt sleeve.
Keep sick children at home."
20,Acute myelogenous leukemia,"Symptoms of acute myelogenous leukemia may include:
Fever.
Pain. Common places for pain include the bones, back and stomach.
Feeling very tired.
Paleness or change in skin color.
Frequent infections.
Easy bruising.
Bleeding with no clear cause, such as in the nose or gums.
Shortness of breath.","Make an appointment with your healthcare professional if you have ongoing symptoms that worry you. Acute myelogenous leukemia symptoms are like those of many more-common conditions, such as infections. The healthcare professional may check for those causes first.","It's often not clear what causes acute myelogenous leukemia.
Healthcare professionals know that it starts when something causes changes to the DNA inside cells in the bone marrow. The bone marrow is the spongy material inside bones. It's where blood cells are made.
The changes that lead to acute myelogenous leukemia are thought to happen in cells called myeloid cells. Myeloid cells are bone marrow cells that can turn into the blood cells that circulate through the body. Healthy myeloid cells can become:
Platelets, which help stop bleeding.
White blood cells, which help fight infections.","Factors that may increase the risk of acute myelogenous leukemia, also called AML, include:
Older age.Acute myelogenous leukemia is most common in adults age 65 and older.
Prior cancer treatment.People who've had certain types of chemotherapy and radiation therapy may have a greater risk of AML.
Smoking cigarettes.AML is linked to cigarette smoke, which contains benzene and other known cancer-causing chemicals.
Other blood disorders.People who've had another blood disorder, such as myelodysplasia, myelofibrosis, polycythemia vera or thrombocythemia, are at greater risk of AML.
Genetic disorders.Certain genetic disorders, such as Down syndrome, are associated with an increased risk of AML.
Family history.People with a close blood relative, such as a sibling, parent or grandparent with a blood or bone marrow disorder are at higher risk for AML.
Many people with AML have no known risk factors, and many people who have risk factors never develop the cancer.",,
21,Guillain-Barre syndrome,"Guillain-Barre syndrome often begins with tingling and weakness starting in the feet and legs and spreading to the upper body and arms. Some people notice the first symptoms in the arms or face. As Guillain-Barre syndrome progresses, muscle weakness can turn into paralysis.
Symptoms of Guillain-Barre syndrome may include:
A pins and needles feeling in the fingers, toes, ankles or wrists.
Weakness in the legs that spreads to the upper body.
Unsteady walk or not being able to walk or climb stairs.
Trouble with facial movements, including speaking, chewing or swallowing.
Double vision or inability to move the eyes.
Severe pain that may feel achy, shooting or cramplike and may be worse at night.
Trouble with bladder control or bowel function.
Rapid heart rate.
Trouble breathing.","Call your healthcare professional if you have mild tingling in your toes or fingers that doesn't seem to be spreading or getting worse. Seek emergency medical help if you have any of these serious symptoms:
Tingling that started in your feet or toes and is now moving up your body.
Tingling or weakness that's spreading quickly.
Trouble catching your breath or shortness of breath when lying flat.
Choking on saliva.
Guillain-Barre syndrome is a serious condition that requires immediate hospitalization because it can worsen quickly. The sooner treatment is started, the better the chance of a complete recovery.","In Guillain-Barre syndrome, your immune system — which usually attacks only invading organisms — begins attacking the nerves. InAIDP, the nerves' protective covering, known as the myelin sheath, is damaged. The damage prevents nerves from transmitting signals to your brain, causing weakness, numbness or paralysis.
Guillain-Barre syndrome may be triggered by:
Most commonly, an infection with campylobacter, a type of bacteria often found in undercooked poultry.
Influenza virus.
Cytomegalovirus.
Epstein-Barr virus.
Zika virus.
Hepatitis A, B, C and E.
HIV, the virus that causesAIDS.
Mycoplasma pneumonia.
Surgery.
Trauma.
Hodgkin lymphoma.
Rarely, influenza vaccinations or childhood vaccinations.
COVID-19virus.","Guillain-Barre syndrome can affect all age groups, but the risk increases as you age. It's also slightly more common in males than females.","Trouble breathing.Weakness or paralysis can spread to the muscles that control your breathing. This can potentially be fatal. Up to 22% of people with Guillain-Barre syndrome need temporary help from a machine to breathe within the first week when they're hospitalized for treatment.
Residual numbness or other sensations.Most people with Guillain-Barre syndrome recover completely or have only minor, residual weakness, numbness or tingling.
Trouble with bowel and bladder function.Sluggish bowel function and urine retention may result from Guillain-Barre syndrome.
Blood clots.People who are not mobile due to Guillain-Barre syndrome are at risk of developing blood clots. Until you're able to walk independently, you may need to take blood thinners and wear support stockings to improve blood flow.
Relapse.A small percentage of people with Guillain-Barre syndrome have a relapse. A relapse can cause muscle weakness even years after symptoms ended.
When early symptoms are worse, the risk of serious long-term complications goes up. Rarely, death may occur from complications such as respiratory distress syndrome and heart attacks.",
